Year Mo Dy     tave     tmax     tmin       vp    rhmax    rhmin        pp      gust
2000  1  1    3.477   11.858   -4.905    0.331    0.614    0.233     0.000     8.252
2000  1  2    0.363    6.415   -5.690    0.396    0.872    0.392     0.000     8.742
2000  1  3   -4.448    1.153  -10.049    0.185    0.573    0.274     0.000    10.741
2000  1  4   -2.465    6.562  -11.493    0.245    0.710    0.254     0.000     4.116
2000  1  5    1.558    6.723   -3.608    0.228    0.540    0.132     0.000    15.974
2000  1  6   -3.041    4.760  -10.842    0.195    0.649    0.152     0.000     6.468
2000  1  7   -3.142    3.954  -10.238    0.249    0.709    0.321     0.000     7.115
2000  1  8   -0.511    8.015   -9.036    0.295    0.785    0.220     0.000    13.387
2000  1  9    3.529    7.330   -0.271    0.219    0.412    0.148     0.000    14.700
2000  1 10    1.094    6.861   -4.674    0.373    0.835    0.295     0.000    14.641
2000  1 11    4.332   16.778   -8.114    0.435    0.909    0.139     0.000    13.132
2000  1 12    4.646   11.043   -1.752    0.452    0.817    0.248     0.000    14.367
2000  1 13    0.204    6.281   -5.872    0.365    0.826    0.352     0.000     3.842
2000  1 14    4.434   14.920   -6.053    0.404    0.802    0.165     0.000     5.566
2000  1 15    4.573   14.051   -4.905    0.332    0.656    0.132     0.000     4.018
2000  1 16    0.931    4.155   -2.292    0.332    0.690    0.328     0.000     6.507
2000  1 17    6.144   15.221   -2.934    0.517    0.798    0.298     0.000     5.586
2000  1 18    2.595    8.143   -2.954    0.547    0.952    0.535     0.000     6.546
2000  1 19    4.674   13.111   -3.763    0.530    0.987    0.258     0.000    13.308
2000  1 20    1.554   10.489   -7.380    0.419    0.926    0.302     0.000     5.037
2000  1 21    3.261    9.668   -3.146    0.461    0.885    0.310     0.000     9.565
2000  1 22    1.915    8.254   -4.424    0.386    0.931    0.173     0.000    14.034
2000  1 23    0.995    7.327   -5.338    0.281    0.656    0.204     0.000    10.506
2000  1 24    2.456   11.830   -6.918    0.344    0.682    0.264     0.000    15.170
2000  1 25   -2.340    0.516   -5.196    0.338    0.753    0.563     0.000     3.587
2000  1 26    0.288    7.339   -6.762    0.444    0.960    0.466     0.000     5.782
2000  1 27   -2.859    1.680   -7.399    0.423    1.009    0.702     0.000     5.978
2000  1 28   -5.502    0.630  -11.635    0.263    0.921    0.379     0.000     6.899
2000  1 29   -3.360    0.942   -7.662    0.338    0.947    0.474     0.000     5.508
2000  1 30   -3.817    3.683  -11.317    0.267    0.888    0.276     0.000     5.037
2000  1 31   -2.113    7.439  -11.665    0.267    0.867    0.155     0.000     5.645
